,IdAcidente,Datahora,Dia da Semana,Sentidos,Latitude GPS,Longitude GPS,Via Trânsito,Localizações,Freguesia,Pov. Proxima,Tipo Natureza,Natureza,Tipo de Traçado,Inclinação do Traçado,Berma do Traçado,Localização do Traçado,Estado Conservação,Características Tecnicas,Reg Circulação,Marca Via,Obstáculos,Sinais,Sinais Luminosos,Tipo Piso,Intersecção Vias,Factores Atmosféricos,Luminosidade,Cond Aderência,VM,FG,FL,Tipos Vias,Via,Num arruamento,Km,Nome arruamento,Localização 2,Ano,Mês,Dia,Hora,Periodo,Estação,Dia Util,Gravidade,Indicador de Gravidade,Veículos envolvidos,Passageiros envolvidos,Peões envolvidos,Inf/Ação: Abertura de porta,Inf/Ação: Desrespeito da sinalização semafórica,Inf/Ação: Desrespeito da sinalização vertical,Inf/Ação: Desrespeito das distâncias de segurança,Inf/Ação: Desrespeito das marcas rodoviárias,Inf/Ação: Encandeamento,Inf/Ação: Manobra irregular,Inf/Ação: Não sinalização da manobra,Inf/Ação: Obstáculo imprevisto na faixa de rodagem,Inf/Ação: Rebentamento de pneumático,Inf/Ação: Velocidade excessiva para as condições existentes,Automóvel ligeiro,Automóvel pesado,Motociclos/Ciclomotores,Outros Veículos,Velocípedes,Peões
20,20191652695,2019-01-03 09:00:00,Quinta-Feira,NÃO DEFINIDO,,,Direita,Dentro das localidades,Santa Maria dos Olivais,Lisboa,Colisão,Colisão choque em cadeia,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Avenida Berlim,Sem GPS - não estimado,2019,1,3,9,Manhã,Inverno,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,20191652709,2019-01-09 12:45:00,Quarta-Feira,NÃO DEFINIDO,38.764698,-9.1045427,Direita,Dentro das localidades,Santa Maria dos Olivais,Lisboa,Atropelamento,Atropelamento de peões,Recta,Com inclinação,Berma pavimentada,Em plena via,Em bom estado,Estrada sem separador,Sentido único,Com marcas,Inexistentes,Outros,A funcionar normalmente,Betuminoso,Em cruzamento,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Avenida Infante Dom Henrique,Sem GPS - estimado,2019,1,9,12,Tarde,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
22,20191652760,2019-01-08 19:40:00,Terça-Feira,NÃO DEFINIDO,38.723502,-9.12879,Direita,Dentro das localidades,Penha de França,Lisboa,Despiste,Despiste sem dispositivo de retenção,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Outros,Inexistentes,Betuminoso,Em cruzamento,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Avenida General Roçadas,Localização GPS,2019,1,8,19,Noite,Inverno,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,20191652763,2019-01-08 19:40:00,Terça-Feira,NÃO DEFINIDO,38.698491,-9.187857,Direita,Dentro das localidades,Belém,,Colisão,Colisão com veiculo ou obstáculo na faixa de rodagem,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Outros,Inexistentes,Betuminoso,Em cruzamento,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,358,,Rua Junqueira,Localização GPS,2019,1,8,19,Noite,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
24,20191652824,2019-01-02 09:50:00,Quarta-Feira,NÃO DEFINIDO,38.7209116,-9.1302425,Direita,Dentro das localidades,São Vicente,,Colisão,Colisão lateral com outro veículo em movimento,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,14,,Rua Graça,Sem GPS - estimado,2019,1,2,9,Manhã,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,20191652837,2019-01-02 12:25:00,Quarta-Feira,No sentido crescente da quilometragem,38.738775,-9.157884,Esquerda,Dentro das localidades,Avenidas Novas,,Colisão,Colisão lateral com outro veículo em movimento,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Em bom estado,Outra via,Sentido único,Com marcas,Inexistentes,Outros,A funcionar normalmente,Betuminoso,Em cruzamento,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento com separador,Via Secundária,0,,Praça Espanha,Localização GPS,2019,1,2,12,Tarde,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,20191653323,2019-01-09 11:10:00,Quarta-Feira,NÃO DEFINIDO,38.7424685,-9.1719151,Direita,Dentro das localidades,São Domingos de Benfica,Lisboa,Atropelamento,Atropelamento de peões,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Em bom estado,Estrada sem separador,Dois sentidos,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,148,,Estrada Benfica,Sem GPS - estimado,2019,1,9,11,Manhã,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
27,20191653335,2019-01-09 10:15:00,Quarta-Feira,NÃO DEFINIDO,38.7083621,-9.15879359999999,Direita,Dentro das localidades,Estrela,Lisboa,Atropelamento,Atropelamento de peões,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em bom estado,Estrada sem separador,Dois sentidos,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Passagem de peões,Inexistentes,Betuminoso,Em cruzamento,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,94,,Rua São João da Mata,Sem GPS - estimado,2019,1,9,10,Manhã,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
28,20191653353,2019-01-09 14:15:00,Quarta-Feira,NÃO DEFINIDO,38.6965446,-9.2002745,Esquerda,Dentro das localidades,Belém,,Atropelamento,Atropelamento de peões,Curva,Em patamar,Berma pavimentada,Em parque de estacionamento,Em bom estado,Estrada sem separador,Sentido único,Com marcas,Inexistentes,Passagem de peões,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Praça Afonso de Albuquerque,Sem GPS - estimado,2019,1,9,14,Tarde,Inverno,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29,20191653370,2019-01-06 04:30:00,Domingo,NÃO DEFINIDO,,,Direita,Dentro das localidades,Alcântara,,Colisão,Colisão lateral com outro veículo em movimento,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Cedência de passagem,Inexistentes,Betuminoso,Em cruzamento,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Rua Jau,Sem GPS - não estimado,2019,1,6,4,Madrugada,Inverno,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
